"","Location","Number","Type","Value","DateTime","ABC"
"1","New Berlin",1,"Ambient",21.5,2018-11-11 21:00:00,"A"
"2","New Berlin",1,"Ambient",20.5,2018-11-12 00:00:00,"A"
"3","New Berlin",1,"Ambient",20.5,2018-11-12 03:00:00,"A"
"4","New Berlin",1,"Ambient",20.5,2018-11-12 06:00:00,"A"
"5","New Berlin",1,"Ambient",11.5,2018-11-12 09:00:00,"A"
"6","New Berlin",1,"Ambient",22,2018-11-12 12:00:00,"A"
"7","New Berlin",1,"Ambient",24.5,2018-11-12 15:00:00,"A"
"8","New Berlin",1,"Ambient",25,2018-11-12 18:00:00,"A"
"9","New Berlin",1,"Ambient",24.5,2018-11-12 21:00:00,"A"
"10","New Berlin",1,"Ambient",24,2018-11-13 00:00:00,"A"
"11","New Berlin",1,"Ambient",24,2018-11-13 03:00:00,"A"
"12","New Berlin",1,"Ambient",24,2018-11-13 06:00:00,"A"
"13","New Berlin",1,"Ambient",24,2018-11-13 09:00:00,"A"
"14","New Berlin",1,"Ambient",21.5,2018-11-13 12:00:00,"A"
"15","New Berlin",1,"Ambient",5,2018-11-13 15:00:00,"A"
"16","New Berlin",1,"Ambient",-4.5,2018-11-13 18:00:00,"A"
"17","New Berlin",1,"Ambient",-6.5,2018-11-13 21:00:00,"A"
"18","New Berlin",1,"Ambient",-7,2018-11-14 00:00:00,"A"
"19","New Berlin",1,"Ambient",-8,2018-11-14 03:00:00,"A"
"20","New Berlin",1,"Ambient",-9,2018-11-14 06:00:00,"A"
"21","New Berlin",1,"Ambient",-2,2018-11-14 09:00:00,"A"
"22","New Berlin",1,"Ambient",6.5,2018-11-14 12:00:00,"A"
"23","New Berlin",1,"Ambient",6,2018-11-14 15:00:00,"A"
"24","New Berlin",1,"Ambient",-1,2018-11-14 18:00:00,"A"
"25","New Berlin",1,"Ambient",-3.5,2018-11-14 21:00:00,"A"
"26","New Berlin",1,"Ambient",-5,2018-11-15 00:00:00,"A"
"27","New Berlin",1,"Ambient",-5.5,2018-11-15 03:00:00,"A"
"28","New Berlin",1,"Ambient",-6.5,2018-11-15 06:00:00,"A"
"29","New Berlin",1,"Ambient",-3.5,2018-11-15 09:00:00,"A"
"30","New Berlin",1,"Ambient",5,2018-11-15 12:00:00,"A"
"31","New Berlin",1,"Ambient",3.5,2018-11-15 15:00:00,"A"
"32","New Berlin",1,"Ambient",1,2018-11-15 18:00:00,"A"
"33","New Berlin",1,"Ambient",-0.5,2018-11-15 21:00:00,"A"
"34","New Berlin",1,"Ambient",-0.5,2018-11-16 00:00:00,"A"
"35","New Berlin",1,"Ambient",0,2018-11-16 03:00:00,"A"
"36","New Berlin",1,"Ambient",0,2018-11-16 06:00:00,"A"
"37","New Berlin",1,"Ambient",2,2018-11-16 09:00:00,"A"
"38","New Berlin",1,"Ambient",3.5,2018-11-16 12:00:00,"A"
"39","New Berlin",1,"Ambient",3.5,2018-11-16 15:00:00,"A"
"40","New Berlin",1,"Ambient",2.5,2018-11-16 18:00:00,"A"
"41","New Berlin",1,"Ambient",-0.5,2018-11-16 21:00:00,"A"
"42","New Berlin",1,"Ambient",0.5,2018-11-17 00:00:00,"A"
"43","New Berlin",1,"Ambient",0,2018-11-17 03:00:00,"A"
"44","New Berlin",1,"Ambient",0,2018-11-17 06:00:00,"A"
"45","New Berlin",1,"Ambient",1,2018-11-17 09:00:00,"A"
"46","New Berlin",1,"Ambient",4.5,2018-11-17 12:00:00,"A"
"47","New Berlin",1,"Ambient",2.5,2018-11-17 15:00:00,"A"
"48","New Berlin",1,"Ambient",0,2018-11-17 18:00:00,"A"
"49","New Berlin",1,"Ambient",-1,2018-11-17 21:00:00,"A"
"50","New Berlin",1,"Ambient",-1.5,2018-11-18 00:00:00,"A"
"51","New Berlin",1,"Ambient",-1.5,2018-11-18 03:00:00,"A"
"52","New Berlin",1,"Ambient",-1.5,2018-11-18 06:00:00,"A"
"53","New Berlin",1,"Ambient",0.5,2018-11-18 09:00:00,"A"
"54","New Berlin",1,"Ambient",8.5,2018-11-18 12:00:00,"A"
"55","New Berlin",1,"Ambient",6.5,2018-11-18 15:00:00,"A"
"56","New Berlin",1,"Ambient",-0.5,2018-11-18 18:00:00,"A"
"57","New Berlin",1,"Ambient",-2.5,2018-11-18 21:00:00,"A"
"58","New Berlin",1,"Ambient",-3.5,2018-11-19 00:00:00,"A"
"59","New Berlin",1,"Ambient",-4,2018-11-19 03:00:00,"A"
"60","New Berlin",1,"Ambient",-3.5,2018-11-19 06:00:00,"A"
"61","New Berlin",1,"Ambient",-3,2018-11-19 09:00:00,"A"
"62","New Berlin",1,"Ambient",1.5,2018-11-19 12:00:00,"A"
"63","New Berlin",1,"Ambient",1.5,2018-11-19 15:00:00,"A"
"64","New Berlin",1,"Ambient",-0.5,2018-11-19 18:00:00,"A"
"65","New Berlin",1,"Ambient",-1,2018-11-19 21:00:00,"A"
"66","New Berlin",1,"Ambient",-1,2018-11-20 00:00:00,"A"
"67","New Berlin",1,"Ambient",-2,2018-11-20 03:00:00,"A"
"68","New Berlin",1,"Ambient",-3,2018-11-20 06:00:00,"A"
"69","New Berlin",1,"Ambient",0,2018-11-20 09:00:00,"A"
"70","New Berlin",1,"Ambient",2,2018-11-20 12:00:00,"A"
"71","New Berlin",1,"Ambient",3.5,2018-11-20 15:00:00,"A"
"72","New Berlin",1,"Ambient",-0.5,2018-11-20 18:00:00,"A"
"73","New Berlin",1,"Ambient",-0.5,2018-11-20 21:00:00,"A"
"74","New Berlin",1,"Ambient",-0.5,2018-11-21 00:00:00,"A"
"75","New Berlin",1,"Ambient",0,2018-11-21 03:00:00,"A"
"76","New Berlin",1,"Ambient",0,2018-11-21 06:00:00,"A"
"77","New Berlin",1,"Ambient",-1,2018-11-21 09:00:00,"A"
"78","New Berlin",1,"Ambient",5.5,2018-11-21 12:00:00,"A"
"79","New Berlin",1,"Ambient",1,2018-11-21 15:00:00,"A"
"80","New Berlin",1,"Ambient",-1,2018-11-21 18:00:00,"A"
"81","New Berlin",1,"Ambient",-1.5,2018-11-21 21:00:00,"A"
"82","New Berlin",1,"Ambient",-1,2018-11-22 00:00:00,"A"
"83","New Berlin",1,"Ambient",-1,2018-11-22 03:00:00,"A"
"84","New Berlin",1,"Ambient",-1,2018-11-22 06:00:00,"A"
"85","New Berlin",1,"Ambient",-0.5,2018-11-22 09:00:00,"A"
"86","New Berlin",1,"Ambient",1.5,2018-11-22 12:00:00,"A"
"87","New Berlin",1,"Ambient",1.5,2018-11-22 15:00:00,"A"
"88","New Berlin",1,"Ambient",2,2018-11-22 18:00:00,"A"
"89","New Berlin",1,"Ambient",2.5,2018-11-22 21:00:00,"A"
"90","New Berlin",1,"Ambient",1.5,2018-11-23 00:00:00,"A"
"91","New Berlin",1,"Ambient",1.5,2018-11-23 03:00:00,"A"
"92","New Berlin",1,"Ambient",1,2018-11-23 06:00:00,"A"
"93","New Berlin",1,"Ambient",4,2018-11-23 09:00:00,"A"
"94","New Berlin",1,"Ambient",8,2018-11-23 12:00:00,"A"
"95","New Berlin",1,"Ambient",10,2018-11-23 15:00:00,"A"
"96","New Berlin",1,"Ambient",7,2018-11-23 18:00:00,"A"
"97","New Berlin",1,"Ambient",8,2018-11-23 21:00:00,"A"
"98","New Berlin",1,"Ambient",6.5,2018-11-24 00:00:00,"A"
"99","New Berlin",1,"Ambient",6,2018-11-24 03:00:00,"A"
"100","New Berlin",1,"Ambient",6,2018-11-24 06:00:00,"A"
"101","New Berlin",1,"Ambient",6,2018-11-24 09:00:00,"A"
"102","New Berlin",1,"Ambient",7.5,2018-11-24 12:00:00,"A"
"103","New Berlin",1,"Ambient",7,2018-11-24 15:00:00,"A"
"104","New Berlin",1,"Ambient",6,2018-11-24 18:00:00,"A"
"105","New Berlin",1,"Ambient",5.5,2018-11-24 21:00:00,"A"
"106","New Berlin",1,"Ambient",4.5,2018-11-25 00:00:00,"A"
"107","New Berlin",1,"Ambient",4,2018-11-25 03:00:00,"A"
"108","New Berlin",1,"Ambient",3,2018-11-25 06:00:00,"A"
"109","New Berlin",1,"Ambient",2.5,2018-11-25 09:00:00,"A"
"110","New Berlin",1,"Ambient",3.5,2018-11-25 12:00:00,"A"
"111","New Berlin",1,"Ambient",3,2018-11-25 15:00:00,"A"
"112","New Berlin",1,"Ambient",2,2018-11-25 18:00:00,"A"
"113","New Berlin",1,"Ambient",1.5,2018-11-25 21:00:00,"A"
"114","New Berlin",1,"Ambient",1,2018-11-26 00:00:00,"A"
"115","New Berlin",1,"Ambient",-0.5,2018-11-26 03:00:00,"A"
"116","New Berlin",1,"Ambient",-2,2018-11-26 06:00:00,"A"
"117","New Berlin",1,"Ambient",-2,2018-11-26 09:00:00,"A"
"118","New Berlin",1,"Ambient",-1,2018-11-26 12:00:00,"A"
"119","New Berlin",1,"Ambient",0,2018-11-26 15:00:00,"A"
"120","New Berlin",1,"Ambient",-2,2018-11-26 18:00:00,"A"
