"","Location","Number","DateTime","ABC","Ambient","Tire","Diff"
"1","New Berlin",1,2018-11-11 21:00:00,"A",21.5,22,0.5
"2","New Berlin",1,2018-11-12 00:00:00,"A",20.5,20,-0.5
"3","New Berlin",1,2018-11-12 03:00:00,"A",20.5,20,-0.5
"4","New Berlin",1,2018-11-12 06:00:00,"A",20.5,20,-0.5
"5","New Berlin",1,2018-11-12 09:00:00,"A",11.5,14,2.5
"6","New Berlin",1,2018-11-12 12:00:00,"A",22,23.5,1.5
"7","New Berlin",1,2018-11-12 15:00:00,"A",24.5,24.5,0
"8","New Berlin",1,2018-11-12 18:00:00,"A",25,24,-1
"9","New Berlin",1,2018-11-12 21:00:00,"A",24.5,24,-0.5
"10","New Berlin",1,2018-11-13 00:00:00,"A",24,24,0
"11","New Berlin",1,2018-11-13 03:00:00,"A",24,23.5,-0.5
"12","New Berlin",1,2018-11-13 06:00:00,"A",24,23.5,-0.5
"13","New Berlin",1,2018-11-13 09:00:00,"A",24,21,-3
"14","New Berlin",1,2018-11-13 12:00:00,"A",21.5,6.5,-15
"15","New Berlin",1,2018-11-13 15:00:00,"A",5,9,4
"16","New Berlin",1,2018-11-13 18:00:00,"A",-4.5,-5,-0.5
"17","New Berlin",1,2018-11-13 21:00:00,"A",-6.5,-7,-0.5
"18","New Berlin",1,2018-11-14 00:00:00,"A",-7,-7.5,-0.5
"19","New Berlin",1,2018-11-14 03:00:00,"A",-8,-8.5,-0.5
"20","New Berlin",1,2018-11-14 06:00:00,"A",-9,-9,0
"21","New Berlin",1,2018-11-14 09:00:00,"A",-2,-1,1
"22","New Berlin",1,2018-11-14 12:00:00,"A",6.5,5.5,-1
"23","New Berlin",1,2018-11-14 15:00:00,"A",6,7,1
"24","New Berlin",1,2018-11-14 18:00:00,"A",-1,-2.5,-1.5
"25","New Berlin",1,2018-11-14 21:00:00,"A",-3.5,-4.5,-1
"26","New Berlin",1,2018-11-15 00:00:00,"A",-5,-5.5,-0.5
"27","New Berlin",1,2018-11-15 03:00:00,"A",-5.5,-5,0.5
"28","New Berlin",1,2018-11-15 06:00:00,"A",-6.5,-6.5,0
"29","New Berlin",1,2018-11-15 09:00:00,"A",-3.5,-4,-0.5
"30","New Berlin",1,2018-11-15 12:00:00,"A",5,4,-1
"31","New Berlin",1,2018-11-15 15:00:00,"A",3.5,2,-1.5
"32","New Berlin",1,2018-11-15 18:00:00,"A",1,0,-1
"33","New Berlin",1,2018-11-15 21:00:00,"A",-0.5,-1,-0.5
"34","New Berlin",1,2018-11-16 00:00:00,"A",-0.5,-1,-0.5
"35","New Berlin",1,2018-11-16 03:00:00,"A",0,-1,-1
"36","New Berlin",1,2018-11-16 06:00:00,"A",0,-0.5,-0.5
"37","New Berlin",1,2018-11-16 09:00:00,"A",2,1,-1
"38","New Berlin",1,2018-11-16 12:00:00,"A",3.5,3,-0.5
"39","New Berlin",1,2018-11-16 15:00:00,"A",3.5,3,-0.5
"40","New Berlin",1,2018-11-16 18:00:00,"A",2.5,1.5,-1
"41","New Berlin",1,2018-11-16 21:00:00,"A",-0.5,-1,-0.5
"42","New Berlin",1,2018-11-17 00:00:00,"A",0.5,0,-0.5
"43","New Berlin",1,2018-11-17 03:00:00,"A",0,-0.5,-0.5
"44","New Berlin",1,2018-11-17 06:00:00,"A",0,-1,-1
"45","New Berlin",1,2018-11-17 09:00:00,"A",1,0.5,-0.5
"46","New Berlin",1,2018-11-17 12:00:00,"A",4.5,4.5,0
"47","New Berlin",1,2018-11-17 15:00:00,"A",2.5,2,-0.5
"48","New Berlin",1,2018-11-17 18:00:00,"A",0,-0.5,-0.5
"49","New Berlin",1,2018-11-17 21:00:00,"A",-1,-1.5,-0.5
"50","New Berlin",1,2018-11-18 00:00:00,"A",-1.5,-1.5,0
"51","New Berlin",1,2018-11-18 03:00:00,"A",-1.5,-2,-0.5
"52","New Berlin",1,2018-11-18 06:00:00,"A",-1.5,-2,-0.5
"53","New Berlin",1,2018-11-18 09:00:00,"A",0.5,2,1.5
"54","New Berlin",1,2018-11-18 12:00:00,"A",8.5,10,1.5
"55","New Berlin",1,2018-11-18 15:00:00,"A",6.5,6.5,0
"56","New Berlin",1,2018-11-18 18:00:00,"A",-0.5,-1.5,-1
"57","New Berlin",1,2018-11-18 21:00:00,"A",-2.5,-3,-0.5
"58","New Berlin",1,2018-11-19 00:00:00,"A",-3.5,-4,-0.5
"59","New Berlin",1,2018-11-19 03:00:00,"A",-4,-4.5,-0.5
"60","New Berlin",1,2018-11-19 06:00:00,"A",-3.5,-4,-0.5
"61","New Berlin",1,2018-11-19 09:00:00,"A",-3,-3,0
"62","New Berlin",1,2018-11-19 12:00:00,"A",1.5,3,1.5
