"","Location","Number","DateTime","NumberA","ABC","Ambient","Tire","Diff"
"1","New Berlin",1,2018-11-11 21:00:00,"1A","A",23,22.5,-0.5
"2","New Berlin",1,2018-11-12 00:00:00,"1A","A",20,20.5,0.5
"3","New Berlin",1,2018-11-12 03:00:00,"1A","A",20,20,0
"4","New Berlin",1,2018-11-12 06:00:00,"1A","A",20,20,0
"5","New Berlin",1,2018-11-12 09:00:00,"1A","A",12,14.5,2.5
"6","New Berlin",1,2018-11-12 12:00:00,"1A","A",21.5,23.5,2
"7","New Berlin",1,2018-11-12 15:00:00,"1A","A",24,24.5,0.5
"8","New Berlin",1,2018-11-12 18:00:00,"1A","A",24.5,24.5,0
"9","New Berlin",1,2018-11-12 21:00:00,"1A","A",24,24.5,0.5
"10","New Berlin",1,2018-11-13 00:00:00,"1A","A",23.5,24,0.5
"11","New Berlin",1,2018-11-13 03:00:00,"1A","A",23.5,23.5,0
"12","New Berlin",1,2018-11-13 06:00:00,"1A","A",23.5,24,0.5
"13","New Berlin",1,2018-11-13 09:00:00,"1A","A",23.5,21.5,-2
"14","New Berlin",1,2018-11-13 12:00:00,"1A","A",14,7,-7
"15","New Berlin",1,2018-11-13 15:00:00,"1A","A",4.5,9.5,5
"16","New Berlin",1,2018-11-13 18:00:00,"1A","A",-5,-4.5,0.5
"17","New Berlin",1,2018-11-13 21:00:00,"1A","A",-7.5,-6.5,1
"18","New Berlin",1,2018-11-14 00:00:00,"1A","A",-7.5,-7,0.5
"19","New Berlin",1,2018-11-14 03:00:00,"1A","A",-8.5,-8,0.5
"20","New Berlin",1,2018-11-14 06:00:00,"1A","A",-9.5,-8.5,1
"21","New Berlin",1,2018-11-14 09:00:00,"1A","A",-2,-1,1
"22","New Berlin",1,2018-11-14 12:00:00,"1A","A",7,6,-1
"23","New Berlin",1,2018-11-14 15:00:00,"1A","A",5,8,3
"24","New Berlin",1,2018-11-14 18:00:00,"1A","A",-1.5,-2,-0.5
"25","New Berlin",1,2018-11-14 21:00:00,"1A","A",-4,-4,0
"26","New Berlin",1,2018-11-15 00:00:00,"1A","A",-5.5,-5,0.5
"27","New Berlin",1,2018-11-15 03:00:00,"1A","A",-6,-5,1
"28","New Berlin",1,2018-11-15 06:00:00,"1A","A",-6.5,-6,0.5
"29","New Berlin",1,2018-11-15 09:00:00,"1A","A",-4,-3.5,0.5
"30","New Berlin",1,2018-11-15 12:00:00,"1A","A",4,4.5,0.5
"31","New Berlin",1,2018-11-15 15:00:00,"1A","A",2.5,2.5,0
"32","New Berlin",1,2018-11-15 18:00:00,"1A","A",0.5,0.5,0
"33","New Berlin",1,2018-11-15 21:00:00,"1A","A",-1,-0.5,0.5
"34","New Berlin",1,2018-11-16 00:00:00,"1A","A",-1,-0.5,0.5
"35","New Berlin",1,2018-11-16 03:00:00,"1A","A",-0.5,-0.5,0
"36","New Berlin",1,2018-11-16 06:00:00,"1A","A",-0.5,-0.5,0
"37","New Berlin",1,2018-11-16 09:00:00,"1A","A",1.5,1.5,0
"38","New Berlin",1,2018-11-16 12:00:00,"1A","A",3,3.5,0.5
"39","New Berlin",1,2018-11-16 15:00:00,"1A","A",3,3,0
"40","New Berlin",1,2018-11-16 18:00:00,"1A","A",2,2,0
"41","New Berlin",1,2018-11-16 21:00:00,"1A","A",-1,-0.5,0.5
"42","New Berlin",1,2018-11-17 00:00:00,"1A","A",0,0.5,0.5
"43","New Berlin",1,2018-11-17 03:00:00,"1A","A",-0.5,0,0.5
"44","New Berlin",1,2018-11-17 06:00:00,"1A","A",-0.5,-0.5,0
"45","New Berlin",1,2018-11-17 09:00:00,"1A","A",0.5,1,0.5
"46","New Berlin",1,2018-11-17 12:00:00,"1A","A",4,4.5,0.5
"47","New Berlin",1,2018-11-17 15:00:00,"1A","A",2,2.5,0.5
"48","New Berlin",1,2018-11-17 18:00:00,"1A","A",-0.5,0,0.5
"49","New Berlin",1,2018-11-17 21:00:00,"1A","A",-1.5,-1,0.5
"50","New Berlin",1,2018-11-18 00:00:00,"1A","A",-2,-1.5,0.5
"51","New Berlin",1,2018-11-18 03:00:00,"1A","A",-2,-1.5,0.5
"52","New Berlin",1,2018-11-18 06:00:00,"1A","A",-2.5,-1.5,1
"53","New Berlin",1,2018-11-18 09:00:00,"1A","A",0.5,2.5,2
"54","New Berlin",1,2018-11-18 12:00:00,"1A","A",9,10,1
"55","New Berlin",1,2018-11-18 15:00:00,"1A","A",6,7,1
"56","New Berlin",1,2018-11-18 18:00:00,"1A","A",-1,-1,0
"57","New Berlin",1,2018-11-18 21:00:00,"1A","A",-3.5,-2.5,1
"58","New Berlin",1,2018-11-19 00:00:00,"1A","A",-4,-3.5,0.5
"59","New Berlin",1,2018-11-19 03:00:00,"1A","A",-4.5,-4,0.5
"60","New Berlin",1,2018-11-19 06:00:00,"1A","A",-4,-3.5,0.5
"61","New Berlin",1,2018-11-19 09:00:00,"1A","A",-3.5,-2.5,1
"62","New Berlin",1,2018-11-19 12:00:00,"1A","A",1.5,3.5,2
"63","New Berlin",1,2018-11-19 15:00:00,"1A","A",1,2,1
"64","New Berlin",1,2018-11-19 18:00:00,"1A","A",-1,-0.5,0.5
"65","New Berlin",1,2018-11-19 21:00:00,"1A","A",-1.5,-1.5,0
"66","New Berlin",1,2018-11-20 00:00:00,"1A","A",-1.5,-1,0.5
"67","New Berlin",1,2018-11-20 03:00:00,"1A","A",-2.5,-2.5,0
"68","New Berlin",1,2018-11-20 06:00:00,"1A","A",-3.5,-3,0.5
"69","New Berlin",1,2018-11-20 09:00:00,"1A","A",-0.5,2.5,3
"70","New Berlin",1,2018-11-20 12:00:00,"1A","A",1.5,1.5,0
"71","New Berlin",1,2018-11-20 15:00:00,"1A","A",2.5,3,0.5
"72","New Berlin",1,2018-11-20 18:00:00,"1A","A",-1,-0.5,0.5
"73","New Berlin",1,2018-11-20 21:00:00,"1A","A",-1,-0.5,0.5
"74","New Berlin",1,2018-11-21 00:00:00,"1A","A",-1,-0.5,0.5
"75","New Berlin",1,2018-11-21 03:00:00,"1A","A",-1,-0.5,0.5
"76","New Berlin",1,2018-11-21 06:00:00,"1A","A",-1,-0.5,0.5
"77","New Berlin",1,2018-11-21 09:00:00,"1A","A",-0.5,1.5,2
"78","New Berlin",1,2018-11-21 12:00:00,"1A","A",5,4,-1
"79","New Berlin",1,2018-11-21 15:00:00,"1A","A",0.5,0,-0.5
"80","New Berlin",1,2018-11-21 18:00:00,"1A","A",-1.5,-2,-0.5
"81","New Berlin",1,2018-11-21 21:00:00,"1A","A",-1.5,-2,-0.5
"82","New Berlin",1,2018-11-22 00:00:00,"1A","A",-1.5,-1,0.5
"83","New Berlin",1,2018-11-22 03:00:00,"1A","A",-1.5,-1.5,0
"84","New Berlin",1,2018-11-22 06:00:00,"1A","A",-1.5,-1,0.5
"85","New Berlin",1,2018-11-22 09:00:00,"1A","A",-1,-0.5,0.5
"86","New Berlin",1,2018-11-22 12:00:00,"1A","A",1,1.5,0.5
"87","New Berlin",1,2018-11-22 15:00:00,"1A","A",1,1.5,0.5
"88","New Berlin",1,2018-11-22 18:00:00,"1A","A",1.5,1.5,0
"89","New Berlin",1,2018-11-22 21:00:00,"1A","A",2,2.5,0.5
"90","New Berlin",1,2018-11-23 00:00:00,"1A","A",1,1,0
"91","New Berlin",1,2018-11-23 03:00:00,"1A","A",1,1,0
"92","New Berlin",1,2018-11-23 06:00:00,"1A","A",0.5,1,0.5
"93","New Berlin",1,2018-11-23 09:00:00,"1A","A",3.5,4.5,1
"94","New Berlin",1,2018-11-23 12:00:00,"1A","A",7.5,7.5,0
"95","New Berlin",1,2018-11-23 15:00:00,"1A","A",9.5,9.5,0
"96","New Berlin",1,2018-11-23 18:00:00,"1A","A",6.5,6.5,0
"97","New Berlin",1,2018-11-23 21:00:00,"1A","A",7.5,7,-0.5
"98","New Berlin",1,2018-11-24 00:00:00,"1A","A",6,6,0
"99","New Berlin",1,2018-11-24 03:00:00,"1A","A",5.5,5.5,0
"100","New Berlin",1,2018-11-24 06:00:00,"1A","A",5.5,5.5,0
"101","New Berlin",1,2018-11-24 09:00:00,"1A","A",6,6,0
"102","New Berlin",1,2018-11-24 12:00:00,"1A","A",7,7,0
"103","New Berlin",1,2018-11-24 15:00:00,"1A","A",6.5,6.5,0
"104","New Berlin",1,2018-11-24 18:00:00,"1A","A",5,5.5,0.5
"105","New Berlin",1,2018-11-24 21:00:00,"1A","A",5,5,0
"106","New Berlin",1,2018-11-25 00:00:00,"1A","A",4,4.5,0.5
"107","New Berlin",1,2018-11-25 03:00:00,"1A","A",3,3.5,0.5
"108","New Berlin",1,2018-11-25 06:00:00,"1A","A",2.5,3,0.5
"109","New Berlin",1,2018-11-25 09:00:00,"1A","A",2,3,1
"110","New Berlin",1,2018-11-25 12:00:00,"1A","A",3,3.5,0.5
"111","New Berlin",1,2018-11-25 15:00:00,"1A","A",2.5,2.5,0
"112","New Berlin",1,2018-11-25 18:00:00,"1A","A",1.5,1.5,0
"113","New Berlin",1,2018-11-25 21:00:00,"1A","A",1,1,0
