Location,Number,Type,Date,Time,AMPM,Value,Unit
New Berlin,1A,Ambient,11-Nov-18,8:18,PM,23,C
New Berlin,1A,Ambient,11-Nov-18,11:18,PM,20,C
New Berlin,1A,Ambient,12-Nov-18,2:18,AM,20,C
New Berlin,1A,Ambient,12-Nov-18,5:18,AM,20,C
New Berlin,1A,Ambient,12-Nov-18,8:18,AM,12,C
New Berlin,1A,Ambient,12-Nov-18,11:18,AM,21.5,C
New Berlin,1A,Ambient,12-Nov-18,2:18,PM,24,C
New Berlin,1A,Ambient,12-Nov-18,5:18,PM,24.5,C
New Berlin,1A,Ambient,12-Nov-18,8:18,PM,24,C
New Berlin,1A,Ambient,12-Nov-18,11:18,PM,23.5,C
New Berlin,1A,Ambient,13-Nov-18,2:18,AM,23.5,C
New Berlin,1A,Ambient,13-Nov-18,5:18,AM,23.5,C
New Berlin,1A,Ambient,13-Nov-18,8:18,AM,23.5,C
New Berlin,1A,Ambient,13-Nov-18,11:18,AM,14,C
New Berlin,1A,Ambient,13-Nov-18,2:18,PM,4.5,C
New Berlin,1A,Ambient,13-Nov-18,5:18,PM,-5,C
New Berlin,1A,Ambient,13-Nov-18,8:18,PM,-7.5,C
New Berlin,1A,Ambient,13-Nov-18,11:18,PM,-7.5,C
New Berlin,1A,Ambient,14-Nov-18,2:18,AM,-8.5,C
New Berlin,1A,Ambient,14-Nov-18,5:18,AM,-9.5,C
New Berlin,1A,Ambient,14-Nov-18,8:18,AM,-2,C
New Berlin,1A,Ambient,14-Nov-18,11:18,AM,7,C
New Berlin,1A,Ambient,14-Nov-18,2:18,PM,5,C
New Berlin,1A,Ambient,14-Nov-18,5:18,PM,-1.5,C
New Berlin,1A,Ambient,14-Nov-18,8:18,PM,-4,C
New Berlin,1A,Ambient,14-Nov-18,11:18,PM,-5.5,C
New Berlin,1A,Ambient,15-Nov-18,2:18,AM,-6,C
New Berlin,1A,Ambient,15-Nov-18,5:18,AM,-6.5,C
New Berlin,1A,Ambient,15-Nov-18,8:18,AM,-4,C
New Berlin,1A,Ambient,15-Nov-18,11:18,AM,4,C
New Berlin,1A,Ambient,15-Nov-18,2:18,PM,2.5,C
New Berlin,1A,Ambient,15-Nov-18,5:18,PM,0.5,C
New Berlin,1A,Ambient,15-Nov-18,8:18,PM,-1,C
New Berlin,1A,Ambient,15-Nov-18,11:18,PM,-1,C
New Berlin,1A,Ambient,16-Nov-18,2:18,AM,-0.5,C
New Berlin,1A,Ambient,16-Nov-18,5:18,AM,-0.5,C
New Berlin,1A,Ambient,16-Nov-18,8:18,AM,1.5,C
New Berlin,1A,Ambient,16-Nov-18,11:18,AM,3,C
New Berlin,1A,Ambient,16-Nov-18,2:18,PM,3,C
New Berlin,1A,Ambient,16-Nov-18,5:18,PM,2,C
New Berlin,1A,Ambient,16-Nov-18,8:18,PM,-1,C
New Berlin,1A,Ambient,16-Nov-18,11:18,PM,0,C
New Berlin,1A,Ambient,17-Nov-18,2:18,AM,-0.5,C
New Berlin,1A,Ambient,17-Nov-18,5:18,AM,-0.5,C
New Berlin,1A,Ambient,17-Nov-18,8:18,AM,0.5,C
New Berlin,1A,Ambient,17-Nov-18,11:18,AM,4,C
New Berlin,1A,Ambient,17-Nov-18,2:18,PM,2,C
New Berlin,1A,Ambient,17-Nov-18,5:18,PM,-0.5,C
New Berlin,1A,Ambient,17-Nov-18,8:18,PM,-1.5,C
New Berlin,1A,Ambient,17-Nov-18,11:18,PM,-2,C
New Berlin,1A,Ambient,18-Nov-18,2:18,AM,-2,C
New Berlin,1A,Ambient,18-Nov-18,5:18,AM,-2.5,C
New Berlin,1A,Ambient,18-Nov-18,8:18,AM,0.5,C
New Berlin,1A,Ambient,18-Nov-18,11:18,AM,9,C
New Berlin,1A,Ambient,18-Nov-18,2:18,PM,6,C
New Berlin,1A,Ambient,18-Nov-18,5:18,PM,-1,C
New Berlin,1A,Ambient,18-Nov-18,8:18,PM,-3.5,C
New Berlin,1A,Ambient,18-Nov-18,11:18,PM,-4,C
New Berlin,1A,Ambient,19-Nov-18,2:18,AM,-4.5,C
New Berlin,1A,Ambient,19-Nov-18,5:18,AM,-4,C
New Berlin,1A,Ambient,19-Nov-18,8:18,AM,-3.5,C
New Berlin,1A,Ambient,19-Nov-18,11:18,AM,1.5,C
New Berlin,1A,Ambient,19-Nov-18,2:18,PM,1,C
New Berlin,1A,Ambient,19-Nov-18,5:18,PM,-1,C
New Berlin,1A,Ambient,19-Nov-18,8:18,PM,-1.5,C
New Berlin,1A,Ambient,19-Nov-18,11:18,PM,-1.5,C
New Berlin,1A,Ambient,20-Nov-18,2:18,AM,-2.5,C
New Berlin,1A,Ambient,20-Nov-18,5:18,AM,-3.5,C
New Berlin,1A,Ambient,20-Nov-18,8:18,AM,-0.5,C
New Berlin,1A,Ambient,20-Nov-18,11:18,AM,1.5,C
New Berlin,1A,Ambient,20-Nov-18,2:18,PM,2.5,C
New Berlin,1A,Ambient,20-Nov-18,5:18,PM,-1,C
New Berlin,1A,Ambient,20-Nov-18,8:18,PM,-1,C
New Berlin,1A,Ambient,20-Nov-18,11:18,PM,-1,C
New Berlin,1A,Ambient,21-Nov-18,2:18,AM,-1,C
New Berlin,1A,Ambient,21-Nov-18,5:18,AM,-1,C
New Berlin,1A,Ambient,21-Nov-18,8:18,AM,-0.5,C
New Berlin,1A,Ambient,21-Nov-18,11:18,AM,5,C
New Berlin,1A,Ambient,21-Nov-18,2:18,PM,0.5,C
