Location,Number_Avg,Type,Date,Time,AMPM,Avg_Value,Unit
New Berlin,1,Ambient,11-Nov-18,8:15,PM,22.25,C
New Berlin,1,Ambient,11-Nov-18,11:15,PM,20.25,C
New Berlin,1,Ambient,12-Nov-18,2:15,AM,20.25,C
New Berlin,1,Ambient,12-Nov-18,5:15,AM,20.25,C
New Berlin,1,Ambient,12-Nov-18,8:15,AM,11.75,C
New Berlin,1,Ambient,12-Nov-18,11:15,AM,21.75,C
New Berlin,1,Ambient,12-Nov-18,2:15,PM,24.25,C
New Berlin,1,Ambient,12-Nov-18,5:15,PM,24.75,C
New Berlin,1,Ambient,12-Nov-18,8:15,PM,24.25,C
New Berlin,1,Ambient,12-Nov-18,11:15,PM,23.75,C
New Berlin,1,Ambient,13-Nov-18,2:15,AM,23.75,C
New Berlin,1,Ambient,13-Nov-18,5:15,AM,23.75,C
New Berlin,1,Ambient,13-Nov-18,8:15,AM,23.75,C
New Berlin,1,Ambient,13-Nov-18,11:15,AM,17.75,C
New Berlin,1,Ambient,13-Nov-18,2:15,PM,4.75,C
New Berlin,1,Ambient,13-Nov-18,5:15,PM,-4.75,C
New Berlin,1,Ambient,13-Nov-18,8:15,PM,-7,C
New Berlin,1,Ambient,13-Nov-18,11:15,PM,-7.25,C
New Berlin,1,Ambient,14-Nov-18,2:15,AM,-8.25,C
New Berlin,1,Ambient,14-Nov-18,5:15,AM,-9.25,C
New Berlin,1,Ambient,14-Nov-18,8:15,AM,-2,C
New Berlin,1,Ambient,14-Nov-18,11:15,AM,6.75,C
New Berlin,1,Ambient,14-Nov-18,2:15,PM,5.5,C
New Berlin,1,Ambient,14-Nov-18,5:15,PM,-1.25,C
New Berlin,1,Ambient,14-Nov-18,8:15,PM,-3.75,C
New Berlin,1,Ambient,14-Nov-18,11:15,PM,-5.25,C
New Berlin,1,Ambient,15-Nov-18,2:15,AM,-5.75,C
New Berlin,1,Ambient,15-Nov-18,5:15,AM,-6.5,C
New Berlin,1,Ambient,15-Nov-18,8:15,AM,-3.75,C
New Berlin,1,Ambient,15-Nov-18,11:15,AM,4.5,C
New Berlin,1,Ambient,15-Nov-18,2:15,PM,3,C
New Berlin,1,Ambient,15-Nov-18,5:15,PM,0.75,C
New Berlin,1,Ambient,15-Nov-18,8:15,PM,-0.75,C
New Berlin,1,Ambient,15-Nov-18,11:15,PM,-0.75,C
New Berlin,1,Ambient,16-Nov-18,2:15,AM,-0.25,C
New Berlin,1,Ambient,16-Nov-18,5:15,AM,-0.25,C
New Berlin,1,Ambient,16-Nov-18,8:15,AM,1.75,C
New Berlin,1,Ambient,16-Nov-18,11:15,AM,3.25,C
New Berlin,1,Ambient,16-Nov-18,2:15,PM,3.25,C
New Berlin,1,Ambient,16-Nov-18,5:15,PM,2.25,C
New Berlin,1,Ambient,16-Nov-18,8:15,PM,-0.75,C
New Berlin,1,Ambient,16-Nov-18,11:15,PM,0.25,C
New Berlin,1,Ambient,17-Nov-18,2:15,AM,-0.25,C
New Berlin,1,Ambient,17-Nov-18,5:15,AM,-0.25,C
New Berlin,1,Ambient,17-Nov-18,8:15,AM,0.75,C
New Berlin,1,Ambient,17-Nov-18,11:15,AM,4.25,C
New Berlin,1,Ambient,17-Nov-18,2:15,PM,2.25,C
New Berlin,1,Ambient,17-Nov-18,5:15,PM,-0.25,C
New Berlin,1,Ambient,17-Nov-18,8:15,PM,-1.25,C
New Berlin,1,Ambient,17-Nov-18,11:15,PM,-1.75,C
New Berlin,1,Ambient,18-Nov-18,2:15,AM,-1.75,C
New Berlin,1,Ambient,18-Nov-18,5:15,AM,-2,C
New Berlin,1,Ambient,18-Nov-18,8:15,AM,0.5,C
New Berlin,1,Ambient,18-Nov-18,11:15,AM,8.75,C
New Berlin,1,Ambient,18-Nov-18,2:15,PM,6.25,C
New Berlin,1,Ambient,18-Nov-18,5:15,PM,-0.75,C
New Berlin,1,Ambient,18-Nov-18,8:15,PM,-3,C
New Berlin,1,Ambient,18-Nov-18,11:15,PM,-3.75,C
New Berlin,1,Ambient,19-Nov-18,2:15,AM,-4.25,C
New Berlin,1,Ambient,19-Nov-18,5:15,AM,-3.75,C
New Berlin,1,Ambient,19-Nov-18,8:15,AM,-3.25,C
New Berlin,1,Ambient,19-Nov-18,11:15,AM,1.5,C
New Berlin,1,Ambient,19-Nov-18,2:15,PM,1.25,C
New Berlin,1,Ambient,19-Nov-18,5:15,PM,-0.75,C
New Berlin,1,Ambient,19-Nov-18,8:15,PM,-1.25,C
New Berlin,1,Ambient,19-Nov-18,11:15,PM,-1.25,C
New Berlin,1,Ambient,20-Nov-18,2:15,AM,-2.25,C
New Berlin,1,Ambient,20-Nov-18,5:15,AM,-3.25,C
New Berlin,1,Ambient,20-Nov-18,8:15,AM,-0.25,C
New Berlin,1,Ambient,20-Nov-18,11:15,AM,1.75,C
New Berlin,1,Ambient,20-Nov-18,2:15,PM,3,C
New Berlin,1,Ambient,20-Nov-18,5:15,PM,-0.75,C
New Berlin,1,Ambient,20-Nov-18,8:15,PM,-0.75,C
New Berlin,1,Ambient,20-Nov-18,11:15,PM,-0.75,C
New Berlin,1,Ambient,21-Nov-18,2:15,AM,-0.5,C
New Berlin,1,Ambient,21-Nov-18,5:15,AM,-0.5,C
New Berlin,1,Ambient,21-Nov-18,8:15,AM,-0.75,C
New Berlin,1,Ambient,21-Nov-18,11:15,AM,5.25,C
New Berlin,1,Ambient,21-Nov-18,2:15,PM,0.75,C
New Berlin,1,Ambient,21-Nov-18,5:15,PM,-1.25,C
New Berlin,1,Ambient,21-Nov-18,8:15,PM,-1.5,C
New Berlin,1,Ambient,21-Nov-18,11:15,PM,-1.25,C
New Berlin,1,Ambient,22-Nov-18,2:15,AM,-1.25,C
New Berlin,1,Ambient,22-Nov-18,5:15,AM,-1.25,C
New Berlin,1,Ambient,22-Nov-18,8:15,AM,-0.75,C
New Berlin,1,Ambient,22-Nov-18,11:15,AM,1.25,C
New Berlin,1,Ambient,22-Nov-18,2:15,PM,1.25,C
New Berlin,1,Ambient,22-Nov-18,5:15,PM,1.75,C
New Berlin,1,Ambient,22-Nov-18,8:15,PM,2.25,C
New Berlin,1,Ambient,22-Nov-18,11:15,PM,1.25,C
New Berlin,1,Ambient,23-Nov-18,2:15,AM,1.25,C
New Berlin,1,Ambient,23-Nov-18,5:15,AM,0.75,C
New Berlin,1,Ambient,23-Nov-18,8:15,AM,3.75,C
New Berlin,1,Ambient,23-Nov-18,11:15,AM,7.75,C
New Berlin,1,Ambient,23-Nov-18,2:15,PM,9.75,C
New Berlin,1,Ambient,23-Nov-18,5:15,PM,6.75,C
New Berlin,1,Ambient,23-Nov-18,8:15,PM,7.75,C
New Berlin,1,Ambient,23-Nov-18,11:15,PM,6.25,C
New Berlin,1,Ambient,24-Nov-18,2:15,AM,5.75,C
New Berlin,1,Ambient,24-Nov-18,5:15,AM,5.75,C
New Berlin,1,Ambient,24-Nov-18,8:15,AM,6,C
New Berlin,1,Ambient,24-Nov-18,11:15,AM,7.25,C
New Berlin,1,Ambient,24-Nov-18,2:15,PM,6.75,C
New Berlin,1,Ambient,24-Nov-18,5:15,PM,5.5,C
New Berlin,1,Ambient,24-Nov-18,8:15,PM,5.25,C
New Berlin,1,Ambient,24-Nov-18,11:15,PM,4.25,C
New Berlin,1,Ambient,25-Nov-18,2:15,AM,3.5,C
New Berlin,1,Ambient,25-Nov-18,5:15,AM,2.75,C
New Berlin,1,Ambient,25-Nov-18,8:15,AM,2.25,C
New Berlin,1,Ambient,25-Nov-18,11:15,AM,3.25,C
New Berlin,1,Ambient,25-Nov-18,2:15,PM,2.75,C
New Berlin,1,Ambient,25-Nov-18,5:15,PM,1.75,C
New Berlin,1,Ambient,25-Nov-18,8:15,PM,1.25,C
New Berlin,1,Ambient,25-Nov-18,11:15,PM,0.75,C
New Berlin,1,Ambient,26-Nov-18,2:15,AM,-1,C
New Berlin,1,Ambient,26-Nov-18,5:15,AM,-2.25,C
New Berlin,1,Ambient,26-Nov-18,8:15,AM,-2.25,C
New Berlin,1,Ambient,26-Nov-18,11:15,AM,-1.25,C
New Berlin,1,Ambient,26-Nov-18,2:15,PM,-0.25,C
New Berlin,1,Ambient,26-Nov-18,5:15,PM,-2.25,C
New Berlin,1,Ambient,26-Nov-18,8:15,PM,-4.25,C
New Berlin,1,Ambient,26-Nov-18,11:15,PM,-4.25,C
New Berlin,1,Ambient,27-Nov-18,2:15,AM,-4.75,C
New Berlin,1,Ambient,27-Nov-18,5:15,AM,-4.75,C
New Berlin,1,Ambient,27-Nov-18,8:15,AM,-2.75,C
New Berlin,1,Ambient,27-Nov-18,11:15,AM,1.5,C
New Berlin,1,Ambient,27-Nov-18,2:15,PM,1.75,C
New Berlin,1,Ambient,27-Nov-18,5:15,PM,-4.75,C
New Berlin,1,Ambient,27-Nov-18,8:15,PM,-5.25,C
New Berlin,1,Ambient,27-Nov-18,11:15,PM,-6.25,C
New Berlin,1,Ambient,28-Nov-18,2:15,AM,-8,C
New Berlin,1,Ambient,28-Nov-18,5:15,AM,-9.25,C
New Berlin,1,Ambient,28-Nov-18,8:15,AM,-4.25,C
New Berlin,1,Ambient,28-Nov-18,11:15,AM,5,C
New Berlin,1,Ambient,28-Nov-18,2:15,PM,1,C
New Berlin,1,Ambient,28-Nov-18,5:15,PM,-4.25,C
New Berlin,1,Ambient,28-Nov-18,8:15,PM,-4.25,C
New Berlin,1,Ambient,28-Nov-18,11:15,PM,-4.75,C
New Berlin,1,Ambient,29-Nov-18,2:15,AM,-3.75,C
New Berlin,1,Ambient,29-Nov-18,5:15,AM,-2.25,C
New Berlin,1,Ambient,29-Nov-18,8:15,AM,-1.25,C
New Berlin,1,Ambient,29-Nov-18,11:15,AM,0.25,C
New Berlin,1,Ambient,29-Nov-18,2:15,PM,1.75,C
New Berlin,1,Ambient,29-Nov-18,5:15,PM,0.25,C
New Berlin,1,Ambient,29-Nov-18,8:15,PM,0.25,C
New Berlin,1,Ambient,29-Nov-18,11:15,PM,0.25,C
New Berlin,1,Ambient,30-Nov-18,2:15,AM,-1.5,C
New Berlin,1,Ambient,30-Nov-18,5:15,AM,-4.25,C
New Berlin,1,Ambient,30-Nov-18,8:15,AM,-0.5,C
New Berlin,1,Ambient,30-Nov-18,11:15,AM,1.5,C
New Berlin,1,Ambient,30-Nov-18,2:15,PM,1.75,C
New Berlin,1,Ambient,30-Nov-18,5:15,PM,0.75,C
New Berlin,1,Ambient,30-Nov-18,8:15,PM,0.75,C
New Berlin,1,Ambient,30-Nov-18,11:15,PM,0.75,C
New Berlin,1,Ambient,1-Dec-18,2:15,AM,2.5,C
New Berlin,1,Ambient,1-Dec-18,5:15,AM,2.25,C
New Berlin,1,Ambient,1-Dec-18,8:15,AM,2.75,C
New Berlin,1,Ambient,1-Dec-18,11:15,AM,2.75,C
New Berlin,1,Ambient,1-Dec-18,2:15,PM,3.25,C
New Berlin,1,Ambient,1-Dec-18,5:15,PM,3.25,C
New Berlin,1,Ambient,1-Dec-18,8:15,PM,3.5,C
New Berlin,1,Ambient,1-Dec-18,11:15,PM,3,C
New Berlin,1,Ambient,2-Dec-18,2:15,AM,3.25,C
