Number,Strip,Diapause,Species,Egg.Count,Total.Larvae,PerSur,JANmeanT,JANmeanA,JANmeanD,DJFmeanT,DJFmeanA,DJFmeanD,MinT,MinA,MinD,FFrostT,FFrostA,DaysB12T,DaysB12A,DaysB0conT,DaysB0conA,HrsB12conT,HrsB12conA,FreThaT,FreThaA,Location,JANsnow
1,64,Y,AT,1402,572,40.799,-6.14,-5.52,-0.62,-3.19,-2.57,-0.62,-29.5,-29.5,0,11/14/18 6:00,11/14/18 6:00,24,21,234,234,66,66,167,158,New Berlin,88.3
1,18,Y,AA,1244,0,0,-6.14,-5.52,-0.62,-3.19,-2.57,-0.62,-29.5,-29.5,0,11/14/18 6:00,11/14/18 6:00,24,21,234,234,66,66,167,158,New Berlin,88.3
1,36,Y,AA,1029,0,0,-6.14,-5.52,-0.62,-3.19,-2.57,-0.62,-29.5,-29.5,0,11/14/18 6:00,11/14/18 6:00,24,21,234,234,66,66,167,158,New Berlin,88.3
1,122,N,AA,NA,0,NA,-6.14,-5.52,-0.62,-3.19,-2.57,-0.62,-29.5,-29.5,0,11/14/18 6:00,11/14/18 6:00,24,21,234,234,66,66,167,158,New Berlin,88.3
1,117,N,AT,1416,0,0,-6.14,-5.52,-0.62,-3.19,-2.57,-0.62,-29.5,-29.5,0,11/14/18 6:00,11/14/18 6:00,24,21,234,234,66,66,167,158,New Berlin,88.3
1,45,Y,AT,1245,36,2.892,-6.14,-5.52,-0.62,-3.19,-2.57,-0.62,-29.5,-29.5,0,11/14/18 6:00,11/14/18 6:00,24,21,234,234,66,66,167,158,New Berlin,88.3
2,5,Y,AA,252,0,0,-1.76,-6.42,4.66,-1.2,-3.47,2.27,-14,-30,16,11/14/18 6:00,11/14/18 6:00,1,24,360,372,9,87,158,143,New Berlin,86.3
2,140,N,AA,NA,0,NA,-1.76,-6.42,4.66,-1.2,-3.47,2.27,-14,-30,16,11/14/18 6:00,11/14/18 6:00,1,24,360,372,9,87,158,143,New Berlin,86.3
2,49,Y,AT,488,50,10.246,-1.76,-6.42,4.66,-1.2,-3.47,2.27,-14,-30,16,11/14/18 6:00,11/14/18 6:00,1,24,360,372,9,87,158,143,New Berlin,86.3
2,71,Y,AT,545,233,42.752,-1.76,-6.42,4.66,-1.2,-3.47,2.27,-14,-30,16,11/14/18 6:00,11/14/18 6:00,1,24,360,372,9,87,158,143,New Berlin,86.3
2,31,Y,AA,1814,1,0.055,-1.76,-6.42,4.66,-1.2,-3.47,2.27,-14,-30,16,11/14/18 6:00,11/14/18 6:00,1,24,360,372,9,87,158,143,New Berlin,86.3
2,116,N,AT,1727,3,0.174,-1.76,-6.42,4.66,-1.2,-3.47,2.27,-14,-30,16,11/14/18 6:00,11/14/18 6:00,1,24,360,372,9,87,158,143,New Berlin,86.3
3,74,Y,AT,736,328,44.565,-5.9,-7.21,1.31,-3.33,-4.21,0.88,-22.5,-31.5,9,11/14/18 6:00,11/14/18 6:00,22,30,375,378,66,66,154,142,New Berlin,86.3
3,125,N,AA,NA,0,NA,-5.9,-7.21,1.31,-3.33,-4.21,0.88,-22.5,-31.5,9,11/14/18 6:00,11/14/18 6:00,22,30,375,378,66,66,154,142,New Berlin,86.3
3,91,Y,AT,835,1,0.12,-5.9,-7.21,1.31,-3.33,-4.21,0.88,-22.5,-31.5,9,11/14/18 6:00,11/14/18 6:00,22,30,375,378,66,66,154,142,New Berlin,86.3
3,96,N,AT,463,0,0,-5.9,-7.21,1.31,-3.33,-4.21,0.88,-22.5,-31.5,9,11/14/18 6:00,11/14/18 6:00,22,30,375,378,66,66,154,142,New Berlin,86.3
3,15,Y,AA,877,0,0,-5.9,-7.21,1.31,-3.33,-4.21,0.88,-22.5,-31.5,9,11/14/18 6:00,11/14/18 6:00,22,30,375,378,66,66,154,142,New Berlin,86.3
3,35,Y,AA,1717,0,0,-5.9,-7.21,1.31,-3.33,-4.21,0.88,-22.5,-31.5,9,11/14/18 6:00,11/14/18 6:00,22,30,375,378,66,66,154,142,New Berlin,86.3
