"","site","date","MeanT_Ambient","MeanT_Tire","MinT_Ambient","MinT_Tire","MeanD","MinD","snow_depth","snow_FAC","snow_FAC10","Location"
"1",1,2018-11-14,-2.25,-2.5625,-9,-9,-0.3125,0,0,"none","none","New Berlin"
"2",1,2018-11-15,-1.4375,-2,-6.5,-6.5,-0.5625,0,0,"none","none","New Berlin"
"3",1,2018-11-16,1.3125,0.625,-0.5,-1,-0.6875,-0.5,0,"none","none","New Berlin"
"4",1,2018-11-17,0.9375,0.4375,-1,-1.5,-0.5,-0.5,6,"lesser",">100","New Berlin"
"5",1,2018-11-18,1,1.0625,-2.5,-3,0.0625,-0.5,12,"lesser",">100","New Berlin"
"6",1,2018-11-19,-1.5625,-1.6875,-4,-4.5,-0.125,-0.5,9,"lesser",">100","New Berlin"
"7",1,2018-11-20,-0.1875,-0.5625,-3,-3.5,-0.375,-0.5,6,"lesser",">100","New Berlin"
"8",1,2018-11-21,0.3125,-0.375,-1.5,-2.5,-0.6875,-1,1,"lesser",">100","New Berlin"
"9",1,2018-11-22,0.5,0,-1,-2,-0.5,-1,0,"none","none","New Berlin"
"10",1,2018-11-23,5.125,4.375,1,0.5,-0.75,-0.5,0,"none","none","New Berlin"
"11",1,2018-11-24,6.3125,5.375,5.5,4.5,-0.9375,-1,0,"none","none","New Berlin"
"12",1,2018-11-25,3,2.4375,1.5,0.5,-0.5625,-1,0,"none","none","New Berlin"
"13",1,2018-11-26,-1.3125,-2.0625,-4,-4.5,-0.75,-0.5,35,"lesser",">100","New Berlin"
"14",1,2018-11-27,-2.6875,-3.125,-5,-6,-0.4375,-1,28,"lesser",">100","New Berlin"
"15",1,2018-11-28,-3.375,-4.1875,-9,-9.5,-0.8125,-0.5,25,"lesser",">100","New Berlin"
"16",1,2018-11-29,-0.9375,-1.75,-4.5,-5,-0.8125,-0.5,25,"lesser",">100","New Berlin"
"17",1,2018-11-30,0.1875,-0.75,-4,-4,-0.9375,0,33,"lesser",">100","New Berlin"
"18",1,2018-12-01,2.875,1.9375,1,0,-0.9375,-1,33,"lesser",">100","New Berlin"
"19",1,2018-12-02,3.3125,2.1875,1.5,0.5,-1.125,-1,0,"none","none","New Berlin"
"20",1,2018-12-03,0.125,-0.6875,-1,-1.5,-0.8125,-0.5,23,"lesser",">100","New Berlin"
"21",1,2018-12-04,-0.8125,-1.125,-1.5,-2,-0.3125,-0.5,8,"lesser",">100","New Berlin"
"22",1,2018-12-05,-1.5625,-1.625,-4,-3.5,-0.0625,0.5,8,"lesser",">100","New Berlin"
"23",1,2018-12-06,-1.8125,-2.3125,-6,-7,-0.5,-1,7,"lesser",">100","New Berlin"
"24",1,2018-12-07,-6.3125,-6.375,-10,-10.5,-0.0625,-0.5,5,"lesser",">100","New Berlin"
"25",1,2018-12-08,-3.5,-4.6875,-9,-10,-1.1875,-1,4,"lesser",">100","New Berlin"
"26",1,2018-12-09,-6.5625,-7.0625,-9,-10.5,-0.5,-1.5,4,"lesser",">100","New Berlin"
"27",1,2018-12-10,-2.5625,-3,-8,-9,-0.4375,-1,4,"lesser",">100","New Berlin"
"28",1,2018-12-11,0,-1,-4.5,-5.5,-1,-1,2,"lesser",">100","New Berlin"
"29",1,2018-12-12,0.625,-0.25,-1.5,-2.5,-0.875,-1,2,"lesser",">100","New Berlin"
"30",1,2018-12-13,1.375,0.5,-1,-2,-0.875,-1,3,"lesser",">100","New Berlin"
"31",1,2018-12-14,1.75,0.6875,-1,-2.5,-1.0625,-1.5,3,"lesser",">100","New Berlin"
"32",1,2018-12-15,3.5625,1.875,-3.5,-4,-1.6875,-0.5,4,"lesser",">100","New Berlin"
"33",1,2018-12-16,3.25,2.5625,-4,-4,-0.6875,0,0,"none","none","New Berlin"
"34",1,2018-12-17,3.625,3.0625,-0.5,-2.5,-0.5625,-2,0,"none","none","New Berlin"
"35",1,2018-12-18,1.3125,0.875,-5.5,-5.5,-0.4375,0,0,"none","none","New Berlin"
"36",1,2018-12-19,3.9375,3.375,0.5,0,-0.5625,-0.5,0,"none","none","New Berlin"
"37",1,2018-12-20,5.5625,4.8125,4,3.5,-0.75,-0.5,0,"none","none","New Berlin"
